Lemma,Language Code,Lexical Category,Definition
အသ္ကဵုမံက်လိုက်တိုန်ပ္ဍဲကဵုကသပ်ဂၞ်,mnw,adjective,(adj) suggestive.
အ,mnw,,1 the first of twelve vowels the Mon language.
အ,mnw,,2 the thirty-fourth consonant of the Mon alphabet.
အ,mnw,noun,"3 (adj.) Unable to speak, mute, dumb, dud.   မၞိဟ်အအ (n) a dumb person.   ကံအအ (n) a dud cartridge or shell."
အ,mnw,noun,"4 private affix.   အထိုၚ်အသး (n) praise.  {derive from} ထိုၚ်သး (v) praise.   [P.] အနိစ္စ (n) impermanence, substantive prefix."
အ,mnw,noun,"5 (v) be dumb, be a dud, be a simpleton, be inert, no thrive, disproportionate, lack potency.   ကောန်ၚ္ၚာ်ဏံဓီုအမံၚ် (v) this boy is dull and lacks potency.   ဍေံဂှ်ယျဵုအ ပ္ဍဲစိုတ်စရိုတ် (v) he is a simpleton person.   ဍေံသ္ဇိုၚ်သ္ဇုဲ ပ္ဍဲကမၠောန်အပ္ဍဲ (v) he is an inert person in business.   ရမျှာၚ်သြန်တၚ်္ကာဏံအ မံၚ် (v) this silver coin be a dud."
အကၚ်,mnw,noun,"(n) rash, skin eruption, fume."
အကၚ်ဂျိ,mnw,noun,"(n) poisonous vapour, gas or fume, eruption caused by poison."
အကၚ်ဂျိဇြုံဇာတ်,mnw,noun,"(n) eruption from cobra bite, the poison of a cobra, poison of cobra."
အကၚ်တူပၟတ်,mnw,noun,(n) blister.
အကၚ်မြန်,mnw,noun,(n) smallpox eruption.
အကတညုတ,mnw,adjective,"(adj.) [P.] ungrateful, not showing gratitude, not pleasing or agreeable."
အကနိတ္ထ,mnw,noun,(n) [P.] the highest Rupabrahmaloka [id.] ဘုံဗြီုအကနိတ္ထ။
အကဝ်,mnw,noun,"(n) a person who has broken leg or hand, lame person."
အကာတ်,mnw,noun,"(n) quick tempered man, rough man, harsh tempered man, intense man, strong-hearted man."
အကာပ်,mnw,noun,"(n) roller, blue or green jay, jay. [id.] ဟကာပ်။"
အကာရ,mnw,noun,"(n) [P.] manner, way in which a thing is done or happen, person’s way of behaving towards others, [Pl] habits and customs, social behaviour."
အကာလ,mnw,noun,"(n) untimely hour, unearthly hour, night time, time of darkness."
အကာဲ,mnw,noun,"(n) build, bodily habit, character, appearance, situation, condition, state, status, meddle, interfere, busy body."
